Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
7.782725,3.4247922463,1042.4692769671,535.7480468597,0.3843166401,1.1482782179,1.4485561144,78540.6136192447,0.1346918079,0.2291791973,0.000674604,0.001088107
7.7969875,3.4233195673,1041.9986514889,536.7778316064,0.3850115593,1.1504266266,1.4539333819,78782.8653694177,0.0573292797,0.2263303033,0.0020571193,0.0043962764
7.81125,3.4218468883,1041.5280260107,537.7981833616,0.3857062273,1.1525746877,1.4593202853,79025.1657139078,-0.0193401672,0.1743589883,0.0023134165,0.007308644
7.8255125,3.4203742093,1041.0574005325,538.811358541,0.3864006429,1.1547223984,1.4647168218,79267.5124325968,-0.0736991805,0.0833142186,0.001612646,0.0091824955
7.839775,3.4189015303,1040.5867750543,539.8205774891,0.3870948049,1.156869756,1.4701229882,79509.9033269558,-0.0910773836,-0.02691789,0.0003887309,0.009593162
7.8540375,3.4174288513,1040.1161495761,540.8295549385,0.3877887122,1.1590167578,1.475538781,79752.3362146566,-0.0676178777,-0.1315632277,-0.0007892572,0.008441445
7.8683,3.4159561723,1039.6455240979,541.8419475434,0.3884823638,1.1611634012,1.4809641959,79994.8089186657,-0.0112481536,-0.2072080592,-0.0013820383,0.0059793855
7.8825625,3.4144834934,1039.1748986197,542.8608049571,0.3891757586,1.1633096834,1.4863992285,80237.3192573939,0.0605202381,-0.2377234288,-0.0010361193,0.0027472414
7.896825,3.4130108144,1038.7042731415,543.8881112914,0.3898688953,1.1654556017,1.4918438739,80479.8650407179,0.1253969971,-0.218308769,0.0003113158,-0.000562268
7.9110875,3.4115381354,1038.2336476634,544.9244882311,0.3905617728,1.1676011532,1.4972981271,80722.4440733217,0.1624532086,-0.1565790642,0.0024073898,-0.0032771668
7.92535,3.4100654564,1037.7630221852,545.9691036353,0.39125439,1.1697463352,1.5027619832,80965.0541624694,0.1579517185,-0.0703954618,0.0047458989,-0.0049115465
7.9396125,3.4085927774,1037.292396707,547.019796567,0.3919467457,1.1718911449,1.5082354373,81207.6931239464,0.1092855359,0.0169934087,0.0067010165,-0.00527961
7.953875,3.4071200984,1036.8217712288,548.0733977611,0.3926388389,1.1740355797,1.5137184851,81450.3587819397,0.0259331833,0.0832049975,0.0076967651,-0.0045286101
7.9681375,3.4056474194,1036.3511457506,549.1261981011,0.3933306684,1.1761796371,1.5192111225,81693.0489616066,-0.0728649252,0.1126896109,0.007366549,-0.0030825796
